HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457937.90272,2017-07-03.4006797,bd,1.50,15.498,11.902,0.009,66.584,0.535,V
2457937.90398,2017-07-03.4019438,bd,1.43,15.499,11.918,0.009,65.619,0.531,V
2457937.90526,2017-07-03.4032178,bd,1.53,15.495,11.901,0.009,66.585,0.530,V
2457940.82655,2017-07-06.3244238,bd,1.65,15.392,11.904,0.010,66.452,0.587,V
2457940.82783,2017-07-06.3257048,bd,1.59,15.372,11.906,0.010,66.325,0.603,V
2457940.82910,2017-07-06.3269778,bd,1.50,15.353,11.907,0.010,66.235,0.608,V
2457943.92564,2017-07-09.4234256,bd,1.76,13.714,11.870,0.042,68.509,2.646,V
2457943.92690,2017-07-09.4246859,bd,1.59,13.311,11.848,0.058,69.912,3.712,V
2457943.92817,2017-07-09.4259553,bd,1.68,14.327,11.882,0.024,67.739,1.491,V
2457944.90956,2017-07-10.4073185,bd,1.50,15.355,11.894,0.010,67.028,0.603,V
2457944.91082,2017-07-10.4085828,bd,1.59,15.381,11.889,0.010,67.307,0.593,V
2457944.91209,2017-07-10.4098506,bd,1.54,15.386,11.897,0.010,66.808,0.592,V
2457949.00067,2017-07-14.4983329,bd,1.56,15.481,11.905,0.009,66.333,0.548,V
2457949.00193,2017-07-14.4995934,bd,1.52,15.478,11.900,0.009,66.677,0.549,V
2457949.00320,2017-07-14.5008578,bd,1.53,15.459,11.903,0.009,66.463,0.555,V
2457959.99836,2017-07-25.4957994,bd,1.47,15.503,11.897,0.009,66.827,0.525,V
2457959.99962,2017-07-25.4970583,bd,1.46,15.509,11.892,0.009,67.108,0.532,V
2457960.00088,2017-07-25.4983222,bd,1.54,15.515,11.898,0.009,66.798,0.529,V
2457962.99631,2017-07-28.4937142,bd,1.65,15.252,11.913,0.011,65.915,0.665,V
2457962.99759,2017-07-28.4949892,bd,1.81,14.964,11.900,0.014,66.643,0.858,V
2457962.99885,2017-07-28.4962531,bd,1.63,15.224,11.879,0.011,67.966,0.656,V
